cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
metabric,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),0.6914800654508626,0.7057575081677976,-0.014277442716934985,0.00390625,10,
metabric,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),0.6914800654508626,0.6890601949888076,0.0024198704620550515,0.275390625,10,
metabric,0.1,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),0.6914800654508626,0.6858574707692758,0.005622594681586768,0.130859375,10,
metabric,0.1,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),0.7057575081677976,0.6890601949888076,0.016697313178990036,0.001953125,10,
metabric,0.1,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),0.7057575081677976,0.6858574707692758,0.019900037398521753,0.001953125,10,
metabric,0.1,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),0.6890601949888076,0.6858574707692758,0.0032027242195317163,0.037109375,10,
metabric,0.2,rmse,SimpleMean,"KNN(k=5,dist)",1.0675325388276042,0.7095707550674925,0.3579617837601118,0.001953125,10,
metabric,0.2,rmse,SimpleMean,RFECA_SVR(k=5),1.0675325388276042,0.7231464675236974,0.34438607130390686,0.001953125,10,
metabric,0.2,rmse,SimpleMean,RFECA_SVR(k=10),1.0675325388276042,0.7059020033174648,0.36163053551013946,0.001953125,10,
metabric,0.2,rmse,SimpleMean,RFECA_SVR(k=20),1.0675325388276042,0.7059426056470143,0.36158993318058996,0.001953125,10,
metabric,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),0.7095707550674925,0.7231464675236974,-0.013575712456204925,0.001953125,10,
metabric,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),0.7095707550674925,0.7059020033174648,0.0036687517500276767,0.130859375,10,
metabric,0.2,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),0.7095707550674925,0.7059426056470143,0.0036281494204781772,0.130859375,10,
metabric,0.2,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),0.7231464675236974,0.7059020033174648,0.0172444642062326,0.001953125,10,
metabric,0.2,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),0.7231464675236974,0.7059426056470143,0.017203861876683102,0.001953125,10,
metabric,0.2,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),0.7059020033174648,0.7059426056470143,-4.0602329549499494e-05,0.625,10,
metabric,0.3,rmse,SimpleMean,"KNN(k=5,dist)",1.068808469877248,0.7335889223533446,0.33521954752390337,0.001953125,10,
metabric,0.3,rmse,SimpleMean,RFECA_SVR(k=5),1.068808469877248,0.7433308152272196,0.3254776546500284,0.001953125,10,
metabric,0.3,rmse,SimpleMean,RFECA_SVR(k=10),1.068808469877248,0.7293349315575418,0.33947353831970617,0.001953125,10,
metabric,0.3,rmse,SimpleMean,RFECA_SVR(k=20),1.068808469877248,0.7360615266759072,0.3327469432013408,0.001953125,10,
metabric,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=5),0.7335889223533446,0.7433308152272196,-0.009741892873874947,0.001953125,10,
metabric,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=10),0.7335889223533446,0.7293349315575418,0.004253990795802798,0.02734375,10,
metabric,0.3,rmse,"KNN(k=5,dist)",RFECA_SVR(k=20),0.7335889223533446,0.7360615266759072,-0.002472604322562577,0.10546875,10,
metabric,0.3,rmse,RFECA_SVR(k=5),RFECA_SVR(k=10),0.7433308152272196,0.7293349315575418,0.013995883669677744,0.001953125,10,
metabric,0.3,rmse,RFECA_SVR(k=5),RFECA_SVR(k=20),0.7433308152272196,0.7360615266759072,0.0072692885513123695,0.001953125,10,
metabric,0.3,rmse,RFECA_SVR(k=10),RFECA_SVR(k=20),0.7293349315575418,0.7360615266759072,-0.006726595118365375,0.001953125,10,
