dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
METABRIC,MAR,0.1,MissForest,bal_acc,10,0.8692159834175239,0.002793415277477174,0.8690997866062051,0.00397137290750893,0.8672176945075367,0.8712142723275111
METABRIC,MAR,0.2,Mean,bal_acc,10,0.8540339809242248,0.004040971400670299,0.8543753808949572,0.005564829016369455,0.8511432441259253,0.8569247177225242
METABRIC,MAR,0.2,KNN,bal_acc,10,0.8621136891563721,0.0041981183907659,0.8612993195294223,0.005916204035588013,0.8591105361734552,0.865116842139289
METABRIC,MAR,0.2,MissForest,bal_acc,10,0.8613616575622352,0.00620776177830494,0.8605114666748173,0.006789511657932845,0.856920892303504,0.8658024228209663
METABRIC,MAR,0.3,Mean,bal_acc,10,0.83789716438176,0.009863028428180183,0.8374980550044735,0.0144275496112789,0.8308415788818763,0.8449527498816437
METABRIC,MAR,0.3,KNN,bal_acc,10,0.8380687893977367,0.00601165357656083,0.8362313674059503,0.007623279142053185,0.8337683114954406,0.8423692673000327
METABRIC,MAR,0.3,MissForest,bal_acc,10,0.850641678568187,0.005753666891878142,0.8487385754667527,0.008725930680359428,0.8465257532224272,0.8547576039139467
METABRIC,MAR,0.05,Mean,corr_frobenius_rel,10,0.09044317558776305,0.0026353191412766025,0.09043108892035731,0.0030803266252041883,0.08855798184061414,0.09232836933491195
METABRIC,MAR,0.05,KNN,corr_frobenius_rel,10,0.0384701423110483,0.0014510066511776033,0.03864591110398502,0.0014851611417938115,0.03743215468251903,0.039508129939577565
METABRIC,MAR,0.05,MissForest,corr_frobenius_rel,10,0.035721277544885174,0.00143365494790257,0.03559103340101988,0.0009119100010435005,0.03469570257712406,0.03674685251264629
METABRIC,MAR,0.1,Mean,corr_frobenius_rel,10,0.15508212157429221,0.002722266699963108,0.15552703706894416,0.004007554885106818,0.15313472929057964,0.1570295138580048
METABRIC,MAR,0.1,KNN,corr_frobenius_rel,10,0.05908812386922853,0.001880509860615509,0.059114927512917914,0.0023458611206682786,0.057742888153691295,0.06043335958476576
METABRIC,MAR,0.1,MissForest,corr_frobenius_rel,10,0.05586674797732742,0.0018523868616242074,0.05579623309268285,0.0028347729293360865,0.05454163024333522,0.05719186571131962
METABRIC,MAR,0.2,Mean,corr_frobenius_rel,10,0.2687487132158899,0.003198920884151191,0.2686535021185144,0.004822792467243153,0.2664603430697586,0.2710370833620212
METABRIC,MAR,0.2,KNN,corr_frobenius_rel,10,0.09559222527515508,0.003925136694270656,0.09553324524229145,0.006172717009234149,0.0927843516340297,0.09840009891628046
METABRIC,MAR,0.2,MissForest,corr_frobenius_rel,10,0.09047802423974337,0.0028835138610941264,0.08983009288255026,0.003259191358332761,0.08841528268574755,0.09254076579373918
METABRIC,MAR,0.3,Mean,corr_frobenius_rel,10,0.36235032093241204,0.003821281820944041,0.3616390176872372,0.0042468304528675005,0.35961674059213955,0.36508390127268453
